Rank,Song,Artist,Year,Lyrics,Source
11,"help me, rhonda","the beach boys
",1965,"well since she put me down i 've been out doin' in my head
come in late at night and in the mornin' i just lay in bed

well, rhonda you look so fine (look so fine)
and i know it wouldn't take much time
for you to help me rhonda
help me get her out of my heart

help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda yeah
get her out of my heart

she was gonna be my wife
and i was gonna be her man
but she let another guy come between us
and it ruined our plan

well, rhonda you caught my eye (caught my eye)
and i can give you lotsa reasons why
you gotta help me rhonda
help me get her out of my heart

help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda yeah
get her out of my heart

help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda yeah
get her out of my heart

help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda
help me rhonda
help, help me rhonda",0
12,king of the road,"roger miller
",1965,"trailer for sale or rent, rooms to let, fifty cents.
no phone, no pool, no pets, i ain't got no cigarettes
ah, but, two hours of pushin' broom
buys an eight by twelve four-bit room
i'm a man of means by no means, king of the road.

third boxcar, midnight train, destination, bangor, maine.
old worn out clothes and shoes,
i don't pay no union dues,
i smoke old stogies i have found short, but not too big around
i'm a man of means by no means, king of the road.

i know every engineer on every train
all of their children, and all of their names
and every handout in every town
and every lock that ain't locked, when no one's around.

i sing, trailers for sale or rent, rooms to let, fifty cents
no phone, no pool, no pets, i ain't got no cigarettes
ah, but, two hours of pushin' broom
buys an eight by twelve four-bit room
i'm a man of means by no means, king of the road.",0
13,the birds and the bees,"jewel akens
",1965,"let me tell ya 'bout the birds and the bees
and the flowers and the trees
and the moon up above
and a thing called ""love""
let me tell ya 'bout the stars in the sky
and a girl and a guy
and the way they could kiss
on a night like this
when i look into your big brown eyes
it's so very plain to see
that it's time you learned about the facts of life
starting from a to z
let me tell ya 'bout the birds and the bees
and the flowers and the trees
and the moon up above
and a thing called ""love"" (yeah!)

when i look into your big brown eyes
it's so very plain to see
that it's time you learned about the facts of life
starting from a to z
let me tell ya 'bout the birds and the bees
and the flowers and the trees
and the moon up above
and a thing called ""love""
let me tell ya 'bout the birds and the bees
and the flowers and the trees
and the birds and the bees
and the flowers and the trees
'bout the birds
fade
and the bees",0
14,"hold me, thrill me, kiss me","mel carter
",1965,"hold me, hold me
never let me go until you've told me, told me
what i want to know and then just hold me, hold me
make me tell you i'm in love with you
thrill me (thrill me), thrill me (thrill me)
walk me down the lane where shadows
will be (will be) will be (will be)
hiding lovers just the same as we'll be, we'll be
when you make me tell you i love you
they told me be sensible with your new love
don't be fooled, thinking this is the last you'll find
but they never stood in the dark with you, love
when you take me in your arms
and drive me slowly out of my mind
kiss me (kiss me), kiss me (kiss me)
and when you do, i'll know that you will
miss me (miss me), miss me (miss me)
if we ever say, adieu
so kiss me, kiss me
make me tell you i'm in love with you
(kiss me) kiss me, (kiss me) kiss me
when you do, i'll know that you will
miss me (miss me), miss me (miss me)
if we ever say, adieu
so kiss me, kiss me
make me tell you i'm in love with you
(hold me, thrill me)
never, never, never let me go
(never, never, never let me go)
(hold me, thrill me)
never, never, never let me go
(never, never, never let me go)",0
15,shotgun,"junior walker & the all stars
",1965,"shotgun 2: 58 trk 1
(autry dewalt aka junior walker)
jr. walker & the all stars
and/or the funk brothers - instrumental
pop chart #4 feb 13, 1965
soul label - 35008 (motown subsidary)

i said, shotgun
shoot 'em 'fore he runs, now
do the jerk, baby
do the jerk, now
hey!

put on yo' red dress
and then you go downtown, now
i said, buy yourself a shotgun, now
we gonna break it down, baby, now
we gonna load it up, baby, now
a-then you shoot him 'fore he run, now

i said, shotgun
shoot 'em 'fore he run, now
do the jerk, baby
do the jerk, now
hey!

(sax & instrumental)

shotgun
shoot 'em 'fore he run, now
do the jerk, baby
do the jerk, now
yeah!

put on yo' high-heel shoes
i said, we goin' down here
an listen to 'em play the blues
we gonna, dig potatoes
we gonna, pick tomatoes

i said, shotgun
shoot 'em 'fore he run, now
do the jerk, baby
do the jerk, now
yeah!

i said it's, twine time
i said it's, twine time
i said it's, twine time

'hey!
'wailin' out the blues!'

(sax & instrumental to end fade)",0
16,i got you babe,"sonny & cher
",1965,"sonny
miscellaneous
i got you babe
i got you babe
sonny & cher
written by sonny bono

(number 1 on billboard chart for 3 weeks, august 1965)

her: they say we're young and we don't know
we won't find out until we grow
him: well i don't know if all that's true
'cause you got me, and baby i got you

him: babe
both: i got you babe
i got you babe

her: they say our love won't pay the rent
before it's earned, our money's all been spent
him: i guess that's so, we don't have a pot
but at least i'm sure of all the things we got

him: babe
both: i got you babe
i got you babe

him: i got flowers in the spring
i got you to wear my ring
her: and when i'm sad, you're a clown
and if i get scared, you're always around

her: don't let them say your hair's too long
'cause i don't care, with you i can't go wrong
him: then put your little hand in mine
there ain't no hill or mountain we can't climb

him: babe
both: i got you babe
i got you babe

him: i got you to hold my hand
her: i got you to understand
him: i got you to walk with me
her: i got you to talk with me
i got you to kiss goodnight
i got you to hold me tight
i got you, i won't let go
i got you to love me so

both: i got you babe
i got you babe
i got you babe
i got you babe
i got you babe

---",0
17,this diamond ring,"gary lewis & the playboys
",1965,"who wants to buy
this diamond ring?
she took it off her finger now
it doesn't mean a thing

this diamond ring doesn't shine for me anymore
and this diamond ring doesn't mean what it did before
so if you've got someone whose love is true
let it shine for you

this stone is genuine
like love should be
and if your baby's truer than
my baby was to me

this diamond ring can be something beautiful
and this diamond ring can be dreams that are coming true
and then your heart won't have to break like mine did
if there's love behind it

this diamond ring can mean something beautiful
and this diamond ring can be dreams that are coming true
and then your heart won't have to break like mine did
if there's love behind it

this diamond ring doesn't shine for me anymore
and this diamond ring doesn't mean what it did before
so if you've got someone whose love is true
let it shine for you

this diamond ring doesn't shine for me anymore
and this diamond ring doesn't mean what it did before",0
18,the 'in' crowd,"ramsey lewis trio
",1965,[instrumental],0
19,"mrs. brown, you've got a lovely daughter","herman's hermits
",1965,not set yet.,
20,stop! in the name of love,"the supremes
",1965,"stop! in the name of love
before you break my heart

baby, baby
i'm aware of where you go
each time you leave my door
i watch you walk down the street

knowing your other love you'll meet
but this time before you run to her
leaving me alone and hurt
(think it over)
after i've been good to you
(think it over)
after i've been sweet to you

stop! in the name of love
before you break my heart
stop! in the name of love
before you break my heart
think it over
think it over

i've known of your
your secluded nights
i've even seen her
may be once or twice

but is her sweet expression
worth more than my love and affection?
but this time before you leave my arms
and rush of to her charms
(think it over)
haven't i been good to you?
(think it over)
haven't i been sweet to you?

stop! in the name of love
before you break my heart
stop! in the name of love
before you break my heart
think it over
think it over

i've tried so hard, hard to be patient
hoping you'd stop this infatuation
but each time you are together
i'm so afraid i'll be losing you forever

stop! in the name of love
before you break my heart
(baby, think it over)
stop! in the name of love

(think it over, baby)
before you break my heart
(think it over, baby)
think it over, baby
stop!",0
21,unchained melody,"the righteous brothers
",1965,"oh, my love, my darling
i've hungered for your touch
a long, lonely time

and time goes by so slowly
and time can do so much
are you still mine?

i need your love
i need your love
god speed your love to me!

lonely rivers flow
to the sea, to the sea
to the open arms of the sea

lonely rivers sigh
""wait for me, wait for me""
i'll be coming home, wait for me!

oh, my love, my darling
i've hungered, hungered for your touch
a long, lonely time

and time goes by so slowly
and time can do so much
are you still mine?

i need your love
i need your love
god speed your love to me!",0
22,silhouettes,"herman's hermits
",1965,"took a walk and passed your house late last night
all the shades were pulled and drawn way down tight
from within, the dim light cast two silhouettes on the shade
oh, what a lovely couple they made

put his arms around your waist, held you tight
kisses i could almost taste in the night
wondered why i'm not the guy who's silhouette's on the shade
i couldn't hide the tears in my eyes

ah-ah-ah-ah-ah
ah-ah-ah-ah-ah

lost control and rang your bell; i was sore
let me in, or else i'll beat down your door
when two strangers who have been two silhouettes on the shade
said, to my shock, ""you're on the wrong block.""

rushed out to your house with wings on my feet
loved you like i'd never loved you, my sweet
vowed that you and i would be two silhouettes on the shade
all of our days, two silhouettes on the shade

ah-ah-ah-ah-ah
ah-ah-ah-ah-ah",0
23,i'll never find another you,"the seekers
",1965,"the seekers
miscellaneous
i'll never find another you
i'll never find another you

-artists: the seekers from ""the seekers-greatest hits""-capitol 4xl-9397
-peak billboard position # 4 in 1965
-words and music by tom springfield

there's a new world somewhere
they call the promised land
and i'll be there some day
if you will hold my hand
i still need you there beside me
no matter what i do
for i know i'll never find another you

there is always someone
for each of us they say
and you'll be my someone
for ever and a day
i could search the whole world over
until my life is through
but i know i'll never find another you

it's a long, long journey
so stay by my side
when i walk through the storm
you'll be my guide, be my guide

if they gave me a fortune
my treasure would be small
i could lose it all tomorrow
and never mind at all
but if i should lose your love, dear
i don't know what i'll do
for i know i'll never find another you

(instrumental interlude
br
brbut if i should lose your love, dear
bri don't know what i'll do
brfor i know i'll never find another you
br
branother you, another you
br
br
brtranscribed by robin hood
br
brthese lyrics were transcribed from the specific recording mentioned above
brand do not necessarily correspond with lyrics from other recordings, sheet
brmusic, songbooks or lyrics printed on album jackets.
br
br",0
24,cara mia,"jay and the americans
",1965,"(*mantovani)


cara mia why must we say goodbye?
each time we part my heart wants to die
darling hear my prayer
cara mia fair
i'll be your love till the end of time

cara mia mine
cara mia mine
cara mia mine
cara mia mine

cara mia why must we say goodbye?
each time we part my heart wants to die
darling hear my prayer
cara mia fair
i'll be your love till the end of time

cara mia mine
cara mia mine
cara mia mine
cara mia mine

oh oh oh oh oh
oh oh oh oh oh
each time we part my heart wants to die
darling hear my prayer
cara mia fair
i'll be your love till the end of time

cara mia mine
cara mia mine
cara mia mine
cara mia mine

cara mia mine
cara mia mine
cara mia mine
cara mia mine",0
25,mr. tambourine man,"the byrds
",1965,not set yet.,
26,cast your fate to the wind,"sounds orchestral
",1965,"a month of nights, a year of days
octobers drifting into mays
i set my sail when the tide comes in
and i just cast my fate to the wind.

i shift my course along the breeze
won't sail up wind on memories
the empty sky is my best friend
and i just cast my fate to the wind

that time has a way of changing a man throughout the years
and now i'm rearranging my life through all my tears
alone, alone, alone

there never was, there couldn't be
a place in time for men like me
who'd drink the dark and laugh at day
and let their wildest dreams blow away

that time has a way of changing a man throughout the years
and now i'm rearranging my life through all my tears
alone, alone, alone

so now i'm old, i'm wise, i'm smart
i'm just a man with half a heart
i wonder how it might have been
and i hadn't cast my fate to the wind
to the wind, to the wind.",0
27,"yes, i'm ready","barbara mason
",1965,"i don't even know how to love you
just the way you want me to
but i'm ready (ready) to learn (to learn)
yes, i'm ready (ready) to learn (to learn)
to fall in love, to fall in love, to fall in love with you

i don't even know how to hold your hand
just to make you understand
but i'm ready (ready) to learn (to learn)
yes, i'm ready (ready) to learn (to learn)
to hold your hand, make you understand
to hold your hand right now

i don't even know how to kiss your lips (kiss your lips)
at a moment like this
but i'm going to learn how to do
all the things you want me to
(are you ready?) yes, i'm ready
(are you ready?) yes, i'm ready
to fall in love, to fall in love, to fall in love right now

(are you ready?) yes, i'm ready
(are you ready?) yes, i'm ready
(to kiss me?) yes, i'm ready
(to love me?)
to kiss you, love you, and hug you
baby, i'm ready",0
28,what's new pussycat?,"tom jones
",1965,not set yet.,
29,eve of destruction,"barry mcguire
",1965,"bloody board destruction

i wake up and i see outside
so many hate i see there
i go outside and i take my board
destroy my hate with my bloody board
i destroy everything i hate
never cared even i get hurt
don't ever try to stop my way
cause my bloody board will grind you down

i drink my beer anymore
to get my power back
it's never end ‘till i feel satisfy
so don't ever close my way
stay away from me fuckin bastard
you just disturbed me like a shit
go fast jump slide and grind
this is my bloody board destruction

watch out…!

i grind my truck
i slide my board
to everything
destroy my hate
i grind my truck
i slide my board
this is my bloody board destruction",0
30,hang on sloopy,"the mccoys
",1965,"hang on, sloopy
sloopy, hang on
hang on, sloopy
sloopy, hang on

sloopy lives in a very bad part of town (ooh, ooh, ooh, ooh)
and everybody, yeah, tries to put my sloopy down (ooh, ooh, ooh, ooh)
sloopy, i don't care what your daddy do (ooh, ooh, ooh, ooh)
'cause you know, sloopy, girl, i'm in love with you (ooh, ooh, ooh, ooh)
and so i sing out

hang on, sloopy
sloopy, hang on
hang on, sloopy
sloopy, hang on

sloopy wears a red dress, yeah, as old as the hills (ooh, ooh, ooh, ooh)
but when sloopy wears that red dress, yeah, you know, it gives me the chills, oh, oh (ooh, ooh, ooh, ooh)
sloopy, when i see you walking, walking down the street (ooh, ooh, ooh, ooh)
i say, ""don't worry, sloopy, girl, you belong to me"" (ooh, ooh, ooh, ooh)
and so i sing out

hang on, sloopy
sloopy, hang on
hang on, sloopy
sloopy, hang on
yeah, yeah, yeah, yeah
give it to 'em right now

sloopy, let your hair down, girl
let it hang down on me (ooh, ooh, ooh, ooh)
sloopy, let your hair down, girl
let it hang down on me, yeah, yeah (ooh, ooh, ooh, ooh)

come on, sloopy (come on, come on)
well, come on, sloopy (come on, come on)
well, come on, sloopy (come on, come on)
well, come on, sloopy (come on, come on)
well, it feels so good (come on, come on)
you know, it feels so good (come on, come on)
well, shake it, shake it, shake it, sloopy (come on, come on)
well, shake it, shake it, shake it, yeah (come on, come on)
oh

hang on, sloopy
sloopy, hang on
yeah, yeah, yeah, yeah, yeah, yeah
hang on, sloopy
sloopy, hang on
yeah, yeah, yeah, yeah, yeah, yeah
hang on, sloopy
sloopy, hang on",0
31,ticket to ride,"the beatles
",1965,"i think i'm gonna be sad
i think it's today, yeah
the girl that's driving me mad
is going away

she's got a ticket to ride
she's got a ticket to ride
she's got a ticket to ride
but she don't care

she said that living with me
is bringing her down, yeah
for she would never be free
when i was around

she's got a ticket to ride
she's got a ticket to ride
she's got a ticket to ride
but she don't care

i don't know why she's riding so high
she ought to think twice
she ought to do right by me
before she gets to saying goodbye
she ought to think twice
she ought to do right by me

i think i'm gonna be sad
i think it's today, yeah

the girl that's driving me mad
is going away, yeah, oh

she's got a ticket to ride
she's got a ticket to ride
she's got a ticket to ride
but she don't care

i don't know why she's riding so high
she ought to think twice
she ought to do right by me
before she gets to saying goodbye
she ought to think twice
she ought to do right by me
she said that living with me
was bringing her down, yeah
for she would never be free
when i was around, oh

she's got a ticket to ride
she's got a ticket to ride
she's got a ticket to ride
but she don't care
my baby don't care
my baby don't care
my baby don't care
my baby don't care
my baby don't care
my baby don't care",0
32,red roses for a blue lady,"bert kaempfert
",1965,"i want some red roses for a blue lady
mr. florist please take my order please
said, ""hey man, you're okay
gone to fight for your land
michael understand
he got a ticket and he said
""time for breakfast in my bed""
baby, there's no helping hand
michael understand
he starts to cry
shining in his eyes
his heart will die
in the lonely falling sky
oh, michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride
oh, michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride
he shock the devil, a broken flame
sea of dreams and no name
oh, his heart will never mend
michael understand
'til the sun has left the sky
he has to kill, don't know why
writing letters in the sand
michael understand
he starts to cry
shining in his eyes
his heart will die
in the lonley falling sky
oh, michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride
oh, michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride
oh, michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride
michael is gone for a soldier
michael has gone tonight
a suitcase is waiting, i told you
life has lost his pride",0
33,papa's got a brand new bag,"james brown
",1965,"come here sister papa's in the swing
he ain't too hip about that new breed babe
he ain't no drag papa's got a brand new bag

come here mama and dig this crazy scene
he's not too fancy but his line is pretty clean
he ain't no drag papa's got a brand new bag

he's doing the jerk, he's doing the fly
don't play him cheap 'cause you know he ain't shy
he's doing the monkey, the mashed potatoes, jump back jack
see you later alligator

come here sister papa's in the swing
he ain't too hip now but i can dig that new breed babe
he ain't no drag, he's got a brand new bag

oh papa! he's doing the jerk, papa, he's doing the jerk
he's doing the twist just like this
he's doing the fly ev'ry day and ev'ry night
the thing's like the boomerang

hey, come on
hey, hey come on
hey, hey, he's set you up tight
out of sight

come on, see what you know
come on, see what you know
i just want you
[incomprehensible]

now let me, now let me tell you what to do
he's doing the jerk, he's doing the fly
don't play him cheap 'cuse you know he ain't shy
doing the monkey, the mashed potatoes, jump back jack
see you later alligator

come here sister",0
34,game of love,"wayne fontana & the mindbenders
",1965,"the purpose of a man is to love a woman
and the purpose of a woman is to love a man
so come on baby, let's start today, come on baby, let's play
the game of love, love, la la la la la love
  (love, love)

it started long ago in the garden of eden
when adam said to eve, baby, you're for me
so come on baby, let's start today, come on baby, let's play
the game of love, love, la la la la la love
  (love, love)

come on baby 'cause the time is right
love your daddy with all your might
put your arms around me, hold me tight
play the game of love

the purpose of a man is to love a woman
and the purpose of a woman is to love a man
so come on baby, let's start today, come on baby, let's play
the game of love, love, la la la la la love
  (love, love)

yeah
oh yeah

well, come on baby 'cause the time is right
love your daddy with all your might
put your arms around me, hold me tight
play the game of love

the purpose of a man is to love a woman
and the purpose of a woman is to love a man
so come on baby, let's start today, come on baby, let's play
the game of love, love, la la la la la love
  (love, love)

the game of love baby, the game of la la la la love
the game of love baby, the game of la la la la love
the game of love baby",0
35,the name game,"shirley ellis
",1965,"the name game!
shirley!
shirley, shirley bo birley bonana fanna fo firley

fee fy mo mirley, shirley!
lincoln!
lincoln, lincoln bo bincoln bonana fanna fo fincoln

fee fy mo mincoln, lincoln!
come on everybody!
i say now let's play a game
i betcha i can make a rhyme out of anybody's name
the first letter of the name, i treat it like it wasn't there
but a b or an f or an m will appear
and then i say bo add a b then i say the name and bonana fanna and a
fo
and then i say the name again with an f very plain
and a fee fy and a mo
and then i say the name again with an m this time

and there isn't any name that i can't rhyme
arnold!
arnold, arnold bo barnold bonana fanna fo farnold

fee fy mo marnold arnold!
but if the first two letters are ever the same
i drop them both and say the name like
bob, bob drop the b's bo ob
for fred, fred drop the f's fo red
for mary, mary drop the m's mo ary

that's the only rule that is contrary.
okay? now say bo: bo
now tony with a b: bony
then bonana fanna fo: bonana fanna fo
then you say the name again with an f very plain: fony
then a fee fy and a mo: fee fy mo
then you say the name again with an m this time: mony

and there isn't any name that you can't rhyme
say tony, tony, bo-bo-ney
bo-na-na fanna, fo-fo-ney
fee fi mo-mo-ney, tony!
let's do billy!
billy, billy, bo-gil-ly, bo-na-na
fanna, fo-fil-ly
fee fi mo-mil-ly, billy!
let's do marsha!
marsha, marsha, bo-bar-sha
bo-na-na fanna, fo-far-sha
fee fi mo-ar-sha, marsha!
little trick with nick!
nick, nick, bo-bick, bo-na-na
fanna fo fick, fee fi mo-mick. nick!
the name game.",0
